Дата,Средняя температура
2018-07-26,23.08
2018-07-26,25.05
2018-07-26,23.04
2018-07-26,20.02
2018-07-26,17.07
2018-07-26,11.09
2018-07-26,13.06
2018-07-25,16.07
2018-07-25,20.09
2018-07-25,25.04
2018-07-25,25.04
2018-07-25,22.07
2018-07-25,15.09
2018-07-25,10.01
2018-07-25,11.02
2018-07-24,13.03
2018-07-24,13.04
2018-07-24,14.01
2018-07-24,13.01
2018-07-24,13.07
2018-07-24,11.0
2018-07-24,9.09
2018-07-24,9.08
2018-07-23,10.0
2018-07-23,11.0
2018-07-23,12.02
2018-07-23,13.08
2018-07-23,13.03
2018-07-23,11.03
2018-07-23,9.06
2018-07-23,9.0
2018-07-22,10.04
2018-07-22,15.05
2018-07-22,16.09
2018-07-22,13.03
2018-07-22,12.02
2018-07-22,12.06
2018-07-22,14.02
2018-07-22,16.08
2018-07-21,17.04
2018-07-21,21.08
2018-07-21,24.06
2018-07-21,28.08
2018-07-21,27.01
2018-07-21,22.03
2018-07-21,22.06
2018-07-21,23.0
2018-07-20,25.05
2018-07-20,27.05
2018-07-20,30.03
2018-07-20,31.03
2018-07-20,29.03
2018-07-20,22.05
2018-07-20,20.09
2018-07-20,21.01
2018-07-19,23.07
2018-07-19,27.0
2018-07-19,28.07
2018-07-19,29.01
2018-07-19,28.05
2018-07-19,24.04
2018-07-19,16.09
2018-07-19,18.01
2018-07-18,21.05
2018-07-18,27.0
2018-07-18,28.07
2018-07-18,28.02
2018-07-18,26.09
2018-07-18,23.01
2018-07-18,15.05
2018-07-18,17.05
2018-07-17,20.03
2018-07-17,25.03
2018-07-17,27.06
2018-07-17,27.07
2018-07-17,25.01
2018-07-17,20.03
2018-07-17,14.07
2018-07-17,16.04
2018-07-16,19.09
2018-07-16,24.08
2018-07-16,27.06
2018-07-16,26.0
2018-07-16,24.07
2018-07-16,20.0
2018-07-16,16.08
2018-07-16,17.06
2018-07-15,19.02
2018-07-15,21.06
2018-07-15,21.06
2018-07-15,23.06
2018-07-15,25.05
2018-07-15,21.07
2018-07-15,16.08
2018-07-15,17.01
2018-07-14,18.08
2018-07-14,22.02
2018-07-14,24.02
2018-07-14,24.06
2018-07-14,27.01
2018-07-14,23.01
2018-07-14,15.09
2018-07-14,17.0
2018-07-13,19.03
2018-07-13,22.03
2018-07-13,26.09
2018-07-13,23.09
2018-07-13,28.0
2018-07-13,24.02
2018-07-13,19.05
2018-07-13,18.07
2018-07-12,20.09
2018-07-12,26.01
2018-07-12,27.08
2018-07-12,29.07
2018-07-12,26.07
2018-07-12,21.01
2018-07-12,18.06
2018-07-12,20.08
2018-07-11,23.01
2018-07-11,25.07
2018-07-11,28.06
2018-07-11,26.08
2018-07-11,25.09
2018-07-11,20.07
2018-07-11,19.09
2018-07-11,19.05
2018-07-10,20.05
2018-07-10,20.02
2018-07-10,21.0
2018-07-10,28.07
2018-07-10,30.05
2018-07-10,24.08
2018-07-10,21.08
2018-07-10,23.07
2018-07-09,26.06
2018-07-09,29.0
2018-07-09,31.6
2018-07-09,31.08
2018-07-09,29.05
2018-07-09,25.05
2018-07-09,20.07
2018-07-09,22.01
2018-07-08,24.07
2018-07-08,28.05
2018-07-08,30.08
2018-07-08,29.0
2018-07-08,26.04
2018-07-08,21.09
2018-07-08,17.06
2018-07-08,18.09
2018-07-07,21.09
2018-07-07,24.06
2018-07-07,28.0
2018-07-07,29.07
2018-07-07,27.03
2018-07-07,24.06
2018-07-07,20.03
2018-07-07,22.05
2018-07-06,25.03
2018-07-06,26.02
2018-07-06,27.05
2018-07-06,28.08
2018-07-06,26.09
2018-07-06,22.06
2018-07-06,18.08
2018-07-06,20.07
2018-07-05,22.06
2018-07-05,24.08
2018-07-05,26.05
2018-07-05,26.01
2018-07-05,24.02
2018-07-05,20.07
2018-07-05,15.09
2018-07-05,16.08
2018-07-04,19.02
2018-07-04,22.02
2018-07-04,24.01
2018-07-04,23.02
2018-07-04,19.04
2018-07-04,14.06
2018-07-04,11.03
2018-07-04,13.06
2018-07-03,15.09
2018-07-03,19.06
2018-07-03,24.01
2018-07-03,27.04
2018-07-03,26.09
2018-07-03,21.07
2018-07-03,15.04
2018-07-03,16.09
2018-07-02,20.0
2018-07-02,24.09
2018-07-02,27.0
2018-07-02,27.07
2018-07-02,26.01
2018-07-02,22.04
2018-07-02,16.07
2018-07-02,17.02
2018-07-01,18.08
2018-07-01,20.08
2018-07-01,24.04
2018-07-01,24.03
2018-07-01,23.06
2018-07-01,18.06
2018-07-01,17.01
2018-07-01,17.06
2018-06-30,20.06
2018-06-30,23.03
2018-06-30,26.06
2018-06-30,26.04
